,Unnamed: 0,Submission ID,Title,Acceptance Status,Track,Authors,Main Contact Affiliation,Submission Type,ARRLink,sha1,url
456,456,4122,SAT: Improving Semi-Supervised Text Classification with Simple Instance-Adaptive Self-Training,Accept-Findings,Ethic Concerns:Unsupervised and Weakly-Supervised Methods in NLP,"Hui Chen, Wei Han and Soujanya Poria",Singapore University of Technology and Design,Regular Short Paper,,449e78b387f6dec6aae1ae629eb7ae4e28ee79a4,https://www.semanticscholar.org/reader/449e78b387f6dec6aae1ae629eb7ae4e28ee79a4?experiments=&features=reader_skimming%3Atrue
466,466,4240,A Benchmark and Dataset for Post-OCR text correction in Sanskrit,Accept-Findings,NLP Applications,"Ayush Maheshwari, Nikhil Singh, Amrith Krishna and Ganesh Ramakrishnan",IIT Bombay,Regular Short Paper,,d50b9db750ded246bde13e2c263e341bcbd8a335,https://www.semanticscholar.org/reader/d50b9db750ded246bde13e2c263e341bcbd8a335?experiments=&features=reader_skimming%3Atrue
470,470,4286,Recurrence Boosts Diversity! Revisiting Recurrent Latent Variable in Transformer-Based Variational AutoEncoder for Diverse Text Generation,Accept-Findings,Natural Language Generation,"Jinyi Hu, Xiaoyuan Yi, Wenhao Li, Maosong Sun and Xing Xie",Tsinghua University,Regular Long Paper,,503ae39c110d298a453259b1b72ee831a9bb0488,https://www.semanticscholar.org/reader/503ae39c110d298a453259b1b72ee831a9bb0488?experiments=&features=reader_skimming%3Atrue
476,476,4355,Trial2Vec: Zero-Shot Clinical Trial Document Similarity Search using Self-Supervision,Accept-Findings,NLP Applications,Zifeng Wang and Jimeng Sun,UIUC,ARR - Long Paper,https://openreview.net/forum?id=0KsNsqhR_D0,ee9f79f0f652011f7df2548b8fca62cb5c48ba66,https://www.semanticscholar.org/reader/ee9f79f0f652011f7df2548b8fca62cb5c48ba66?experiments=&features=reader_skimming%3Atrue
477,477,4358,From Mimicking to Integrating: Knowledge Integration for Pre-Trained Language Models,Accept-Findings,Efficient Methods for NLP,"Lei Li, Yankai Lin, Xuancheng Ren, Guangxiang Zhao, Peng Li, Jie Zhou and Xu Sun",Peking University,ARR - Long Paper,https://openreview.net/forum?id=o50Upjl1oUw,347cb88984f55de9d51bafeb55f340ae189b795a,https://www.semanticscholar.org/reader/347cb88984f55de9d51bafeb55f340ae189b795a?experiments=&features=reader_skimming%3Atrue
478,478,4365,Model and Data Transfer for Cross-Lingual Sequence Labelling in Zero-Resource Settings,Accept-Findings,Multilinguality,"Iker García-Ferrero, Rodrigo Agerri and German Rigau","HiTZ Center - Ixa, University of the Basque Country UPV/EHU",ARR - Long Paper,https://openreview.net/forum?id=se0dXkozw5Q,2cc51dd9da5a145acff6c4a245ecacf3c6ee722c,https://www.semanticscholar.org/reader/2cc51dd9da5a145acff6c4a245ecacf3c6ee722c?experiments=&features=reader_skimming%3Atrue
482,482,4375,Forging Multiple Training Objectives for Pre-trained Language Models via Meta-Learning,Accept-Findings,Language Modeling and Analysis of Language Models,"Hongqiu Wu, Ruixue Ding, Hai Zhao, Boli Chen, Pengjun Xie, Fei Huang and Min Zhang",Shanghai Jiao Tong Univiersity,ARR - Long Paper,https://openreview.net/forum?id=-OT3rSwKWT,3a021e1acc7588897df3f58e3ad928122846122f,https://www.semanticscholar.org/reader/3a021e1acc7588897df3f58e3ad928122846122f?experiments=&features=reader_skimming%3Atrue
484,484,4379,Large-Scale Differentially Private BERT,Accept-Findings,Efficient Methods for NLP,"Rohan Anil, Badih Ghazi, Vineet Gupta, Ravi Kumar and Pasin Manurangsi",Google,ARR - Long Paper,https://openreview.net/forum?id=H_2UDtXObL,2cbf8688cbaddb28eac94fafb01251178f664dc7,https://www.semanticscholar.org/reader/2cbf8688cbaddb28eac94fafb01251178f664dc7?experiments=&features=reader_skimming%3Atrue
488,488,4389,BOOKSUM: A Collection of Datasets for Long-form Narrative Summarization,Accept-Findings,Resources and Evaluation,"Wojciech Kryscinski, Nazneen Rajani, Divyansh Agarwal, Caiming Xiong and Dragomir Radev",Salesforce Research,ARR - Long Paper,https://openreview.net/forum?id=aEYu7N9GNgV,307054c95e25e91c8e1cb5cc20ee08a2b55aaa13,https://www.semanticscholar.org/reader/307054c95e25e91c8e1cb5cc20ee08a2b55aaa13?experiments=&features=reader_skimming%3Atrue
489,489,4391,Not All Errors are Equal: Learning Text Generation Metrics using Stratified Error Synthesis,Accept-Findings,Resources and Evaluation,"Wenda Xu, Yi-Lin Tuan, Yujie Lu, Michael S. Saxon, Lei Li and William Yang Wang",University of California at Santa Barbara,ARR - Long Paper,https://openreview.net/forum?id=BOdVQ1oTqJq,8eac7b9318e186cc2708845d669a7a759565c452,https://www.semanticscholar.org/reader/8eac7b9318e186cc2708845d669a7a759565c452?experiments=&features=reader_skimming%3Atrue
490,490,4395,Summarization as Indirect Supervision for Relation Extraction,Accept-Findings,Information Extraction,"Keming Lu, I-Hung Hsu, Wenxuan Zhou, Mingyu Derek Ma and Muhao Chen",University of Southern California,ARR - Long Paper,https://openreview.net/forum?id=HeUHYgbxM5,11fc7b4e459479ec5facb344b42a9bad940da37a,https://www.semanticscholar.org/reader/11fc7b4e459479ec5facb344b42a9bad940da37a?experiments=&features=reader_skimming%3Atrue
491,491,4400,DIGAT: Modeling News Recommendation with Dual-Graph Interaction,Accept-Findings,NLP Applications,"Zhiming Mao, Jian Li, Hongru Wang, Xingshan Zeng and Kam-Fai Wong",The Chinese University of Hong Kong,ARR - Long Paper,https://openreview.net/forum?id=QYFXXGNaQbk,922f58be48fa45e0e8d8efb81044cc037bdba1fa,https://www.semanticscholar.org/reader/922f58be48fa45e0e8d8efb81044cc037bdba1fa?experiments=&features=reader_skimming%3Atrue
493,493,4410,Consecutive Question Generation via Dynamic Multitask Learning,Accept-Findings,Natural Language Generation,"Yunji Li, Sujian Li and Xing Shi",Peking University,ARR - Long Paper,https://openreview.net/forum?id=wH9K52hffex,bd61f0258fc77378e366083aea1d988bf33bd118,https://www.semanticscholar.org/reader/bd61f0258fc77378e366083aea1d988bf33bd118?experiments=&features=reader_skimming%3Atrue
494,494,4411,Subword Segmental Language Modelling for Nguni Languages,Accept-Findings,"Phonology, Morphology and Word Segmentation",Francois Meyer and Jan Buys,University of Cape Town,ARR - Long Paper,https://openreview.net/forum?id=RnTp0zs_IN4,379722c04fb3b54215f82512eb86398cb02d42dd,https://www.semanticscholar.org/reader/379722c04fb3b54215f82512eb86398cb02d42dd?experiments=&features=reader_skimming%3Atrue
495,495,4417,Towards Robust Visual Question Answering: Making the Most of Biased Samples via Contrastive Learning,Accept-Findings,Question Answering,"Qingyi Si, Yuanxin LIU, Fandong Meng, Zheng Lin, Peng Fu, Yanan Cao, Weiping Wang and Jie Zhou","Institute of Information Engineering, Chinese Academy of Sciences",ARR - Long Paper,https://openreview.net/forum?id=yoOxlNY0eI1&referrer=[the%20profile%20of%20Qingyi%20Si](/profile?id=~Qingyi_Si1),42d020473915136cb4fff4f5c133e2970951c00c,https://www.semanticscholar.org/reader/42d020473915136cb4fff4f5c133e2970951c00c?experiments=&features=reader_skimming%3Atrue
496,496,4426,P3LM: Probabilistically Permuted Prophet Language Modeling for Generative Pre-Training,Accept-Findings,Natural Language Generation,"Junwei Bao, Yifan Wang, ying jiangyong, Yeyun Gong, Jing Zhao, Youzheng Wu and Xiaodong He",JD AI Research,ARR - Long Paper,https://openreview.net/forum?id=S0elIJsa515,2ae0c69cac7bb2ba386faf6e9702db54b2ca594d,https://www.semanticscholar.org/reader/2ae0c69cac7bb2ba386faf6e9702db54b2ca594d?experiments=&features=reader_skimming%3Atrue
497,497,4429,Holistic Sentence Embeddings for Better Out-of-Distribution Detection,Accept-Findings,Machine Learning for NLP,"Sishuo Chen, Xiaohan Bi, Rundong Gao and Xu Sun","Center for Data Science, Peking University",ARR - Short Paper,https://openreview.net/forum?id=r4lujKx-lz5,020b0c80270af27cd28899f2711eeed7a88b95cd,https://www.semanticscholar.org/reader/020b0c80270af27cd28899f2711eeed7a88b95cd?experiments=&features=reader_skimming%3Atrue
498,498,4432,MuGER2: Multi-Granularity Evidence Retrieval and Reasoning for Hybrid Question Answering,Accept-Findings,Question Answering,"Yingyao Wang, Junwei Bao, Chaoqun Duan, Youzheng Wu, Xiaodong He and Tiejun Zhao",Harbin Institute of Technology,ARR - Long Paper,https://openreview.net/forum?id=tGBmPMsKiC&referrer=[the%20profile%20of%20Yingyao%20Wang](/profile?id=~Yingyao_Wang1),c63296d9907dd522271cb60cf525a7d66aa1c25e,https://www.semanticscholar.org/reader/c63296d9907dd522271cb60cf525a7d66aa1c25e?experiments=&features=reader_skimming%3Atrue
499,499,4433,EntityCS: Improving Zero-Shot Cross-lingual Transfer with Entity-Centric Code Switching,Accept-Findings,Multilinguality,"Chenxi Whitehouse, Fenia Christopoulou and Ignacio Iacobacci","City, University of London",ARR - Long Paper,https://openreview.net/forum?id=S9Ll5aiBJM9,cfc907cb4da8734f713ed42f1d7ecdbd90e31832,https://www.semanticscholar.org/reader/cfc907cb4da8734f713ed42f1d7ecdbd90e31832?experiments=&features=reader_skimming%3Atrue
500,500,4444,MBTI Personality Prediction for Fictional Characters Using Movie Scripts,Accept-Findings,Resources and Evaluation,"Yisi Sang, Xiangyang Mou, Mo Yu, Dakuo Wang, Jing Li and Jeffrey Stanton",Syracuse University,ARR - Short Paper,https://openreview.net/forum?id=HK-_DteWlGq,c1fdff2943289250a2eac036ef81402f408d8b47,https://www.semanticscholar.org/reader/c1fdff2943289250a2eac036ef81402f408d8b47?experiments=&features=reader_skimming%3Atrue
502,502,4462,Probing for Constituency Structure in Neural Language Models,Accept-Findings,Language Modeling and Analysis of Language Models,"David Arps, Younes Samih, Laura Kallmeyer and Hassan Sajjad",HHU Düsseldorf,ARR - Long Paper,https://openreview.net/forum?id=BNeMHyop919,b7e66de289baad3f013b77a96de58e419721873e,https://www.semanticscholar.org/reader/b7e66de289baad3f013b77a96de58e419721873e?experiments=&features=reader_skimming%3Atrue
503,503,4467,Table-To-Text generation and pre-training with TabT5,Accept-Findings,Unsupervised and Weakly-Supervised Methods in NLP,"Ewa Andrejczuk, Julian Martin Eisenschlos, Francesco Piccinno, Syrine Krichene and Yasemin Altun",Google,ARR - Short Paper,https://openreview.net/forum?id=xyz6uMggk3H,38f172208bff91429710bba77f658093b62628cc,https://www.semanticscholar.org/reader/38f172208bff91429710bba77f658093b62628cc?experiments=&features=reader_skimming%3Atrue
505,505,4471,PaCo: Preconditions Attributed to Commonsense Knowledge,Accept-Findings,Resources and Evaluation,"Ehsan Qasemi, Filip Ilievski, Muhao Chen and Pedro Szekely",University of Southern California,ARR - Long Paper,https://openreview.net/forum?id=BeU4Fl-gG9,3ae743e91f86b5170c2d252fa810c14fd9b70115,https://www.semanticscholar.org/reader/3ae743e91f86b5170c2d252fa810c14fd9b70115?experiments=&features=reader_skimming%3Atrue
508,508,4480,WANLI: Worker and AI Collaboration for Natural Language Inference Dataset Creation,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Alisa Liu, Swabha Swayamdipta, Noah A. Smith and Yejin Choi",University of Washington,ARR - Long Paper,https://openreview.net/forum?id=r2f8WJi6cyq,56b30c6bd9dc4a2416ab3b74ad97dbb7a2904229,https://www.semanticscholar.org/reader/56b30c6bd9dc4a2416ab3b74ad97dbb7a2904229?experiments=&features=reader_skimming%3Atrue
510,510,4486,"Revisiting the Roles of ""Text” in Text Games",Accept-Findings,Resources and Evaluation,"Yi Gu, Shunyu Yao, Chuang Gan, Josh Tenenbaum and Mo Yu",UC San Diego,ARR - Short Paper,https://openreview.net/forum?id=B43NvFeWlf9,eb35adb231ce84db3cc1dd6c1a00ae5d9a566fcf,https://www.semanticscholar.org/reader/eb35adb231ce84db3cc1dd6c1a00ae5d9a566fcf?experiments=&features=reader_skimming%3Atrue
511,511,4487,FPT: Improving Prompt Tuning Efficiency via Progressive Training,Accept-Findings,Efficient Methods for NLP,"Yufei Huang, Yujia Qin, Huadong Wang, Yichun Yin, Maosong Sun, Zhiyuan Liu and Qun Liu",Tsinghua University,ARR - Short Paper,https://openreview.net/forum?id=WpKTipkf2yI,3f88eb2abbf54f043c50de9b33530ddbe9f02b87,https://www.semanticscholar.org/reader/3f88eb2abbf54f043c50de9b33530ddbe9f02b87?experiments=&features=reader_skimming%3Atrue
512,512,4490,Prompt-learning for Fine-grained Entity Typing,Accept-Findings,Information Extraction,"Ning Ding, Yulin Chen, Xu Han, Guangwei Xu, Xiaobin Wang, Pengjun Xie, Haitao Zheng, Zhiyuan Liu, Juanzi Li and Hong-Gee Kim",Tsinghua University,ARR - Long Paper,https://openreview.net/forum?id=Bfgk5gZeM5,bf722dc893ddaad5045fca5646212ec3badf3c5a,https://www.semanticscholar.org/reader/bf722dc893ddaad5045fca5646212ec3badf3c5a?experiments=&features=reader_skimming%3Atrue
513,513,4492,TransLIST: A Transformer-Based Linguistically Informed Sanskrit Tokenizer,Accept-Findings,"Phonology, Morphology and Word Segmentation","Jivnesh Sandhan, Rathin Singha, Narein Rao, SUVENDU SAMANTA, Laxmidhar Behera and Pawan Goyal",IIT Kanpur,ARR - Long Paper,https://openreview.net/forum?id=L0NXPV-Hit3,abc2280a8ea693643960cebbd687edd0ea57a928,https://www.semanticscholar.org/reader/abc2280a8ea693643960cebbd687edd0ea57a928?experiments=&features=reader_skimming%3Atrue
514,514,4498,Fair NLP Models with Differentially Private Text Encoders,Accept-Findings,Ethics,"Gaurav Maheshwari, Pascal Denis, Mikaela Keller and Aurélien Bellet",INRIA,ARR - Long Paper,https://openreview.net/forum?id=BVgNSki6q1c,9b78140aa26f738a7a225d505ad34023ff3b6d61,https://www.semanticscholar.org/reader/9b78140aa26f738a7a225d505ad34023ff3b6d61?experiments=&features=reader_skimming%3Atrue
515,515,4500,Modeling Context With Linear Attention for Scalable Document-Level Translation,Accept-Findings,Efficient Methods for NLP,"Zhaofeng Wu, Hao Peng, Nikolaos Pappas and Noah A. Smith",The Allen Institute for Artificial Intelligence,ARR - Short Paper,https://openreview.net/forum?id=hIxl43xtuqr,296c4ff39184fb7787954bc4e1a5bde89e16c16e,https://www.semanticscholar.org/reader/296c4ff39184fb7787954bc4e1a5bde89e16c16e?experiments=&features=reader_skimming%3Atrue
516,516,4503,What do Large Language Models Learn beyond Language?,Accept-Findings,Language Modeling and Analysis of Language Models,Avinash Madasu and Shashank Srivastava,University of North Carolina Chapel Hill,ARR - Long Paper,https://openreview.net/forum?id=S3VuIYlbxz9,5efab88c0cdb11c795fa8f44a5d31b40e2a1c261,https://www.semanticscholar.org/reader/5efab88c0cdb11c795fa8f44a5d31b40e2a1c261?experiments=&features=reader_skimming%3Atrue
517,517,4507,CONSISTENT: Open-Ended Question Generation From News Articles,Accept-Findings,NLP Applications,"Tuhin Chakrabarty, Justin Lewis and Smaranda Muresan",Columbia University,ARR - Long Paper,https://openreview.net/forum?id=cbT7SHYOD4L,91eb2e73f8f3574c00dc6787a3e277eedaf33531,https://www.semanticscholar.org/reader/91eb2e73f8f3574c00dc6787a3e277eedaf33531?experiments=&features=reader_skimming%3Atrue
518,518,4511,Efficient (Soft) Q-Learning for Text Generation with Limited Good Data,Accept-Findings,Machine Learning for NLP,"Han Guo, Bowen Tan, Zhengzhong Liu, Eric Xing and Zhiting Hu",CMU,ARR - Long Paper,https://openreview.net/forum?id=SO_eRR9ack5,f3a2bc491bb9c96e14a728de0b0adf9228569ffd,https://www.semanticscholar.org/reader/f3a2bc491bb9c96e14a728de0b0adf9228569ffd?experiments=&features=reader_skimming%3Atrue
520,520,4517,Inferring the Reader: Guiding Automated Story Generation with Commonsense Reasoning,Accept-Findings,Natural Language Generation,"Xiangyu Peng, Siyan Li, Sarah Wiegreffe and Mark Riedl",Georgia Institute of Technology,ARR - Long Paper,https://openreview.net/forum?id=BgzIFgbefq,a791712371ed865cb6debe9cb4d5fd59a3405b85,https://www.semanticscholar.org/reader/a791712371ed865cb6debe9cb4d5fd59a3405b85?experiments=&features=reader_skimming%3Atrue
522,522,4522,Contrastive Learning with Prompt-derived Virtual Semantic Prototypes for Unsupervised Sentence Embedding,Accept-Findings,"Semantics: Lexical, Sentence level, Textual Inference and Other areas","Jiali Zeng, Yongjing Yin, Yufan Jiang, Shuangzhi Wu and Yunbo Cao","Tencent Technology Co., Ltd, Beijing, China",ARR - Long Paper,https://openreview.net/forum?id=HeWcauxWgM9,c8c99356e5ded23149a82ab7e1c556499928bce4,https://www.semanticscholar.org/reader/c8c99356e5ded23149a82ab7e1c556499928bce4?experiments=&features=reader_skimming%3Atrue
525,525,4532,APEACH: Attacking Pejorative Expressions with Analysis on Crowd-Generated Hate Speech Evaluation Datasets,Accept-Findings,Resources and Evaluation,"Kichang Yang, Wonjun Jang and Won Ik Cho",LG AI Research.,ARR - Long Paper,https://openreview.net/forum?id=pd2kEpcxxHJ,4ec9e75af8046ba664e14d761befebe8713cc790,https://www.semanticscholar.org/reader/4ec9e75af8046ba664e14d761befebe8713cc790?experiments=&features=reader_skimming%3Atrue
526,526,4533,Guiding Neural Story Generation with Reader Models,Accept-Findings,Natural Language Generation,"Xiangyu Peng, Kaige Xie, Amal Alabdulkarim, Harshith Kayam, Samihan Dani and Mark Riedl",Georgia Institute of Technology,ARR - Long Paper,https://openreview.net/forum?id=rxVPYl-gG5,03f079c0d6d5b14a3948e55de0f40677d9634338,https://www.semanticscholar.org/reader/03f079c0d6d5b14a3948e55de0f40677d9634338?experiments=&features=reader_skimming%3Atrue
527,527,4539,"Reason first, then respond: Modular Generation for Knowledge-infused Dialogue",Accept-Findings,Dialogue and Interactive Systems,"Leonard Adolphs, Kurt Shuster, Jack Urbanek, Arthur Szlam and Jason Weston",ETHZ,ARR - Long Paper,https://openreview.net/forum?id=lZ_hN0ImCm9,d15d96517370c9ed0658d176b979bcf92d1373ea,https://www.semanticscholar.org/reader/d15d96517370c9ed0658d176b979bcf92d1373ea?experiments=&features=reader_skimming%3Atrue
532,532,4555,Logical Fallacy Detection,Accept-Findings,NLP Applications,"Zhijing Jin, Abhinav Lalwani, Tejas Vaidhya, Xiaoyu Shen, Yiwen Ding, Zhiheng LYU, Mrinmaya Sachan, Rada Mihalcea and Bernhard Schoelkopf",ETH Zurich,ARR - Long Paper,https://openreview.net/forum?id=64rwiJM2xp2,5df1a114dab6938e5078130c2440e8b846e785ae,https://www.semanticscholar.org/reader/5df1a114dab6938e5078130c2440e8b846e785ae?experiments=&features=reader_skimming%3Atrue
